Character,Lv,Rarity,Element,Weapon,Main role,Ascension,BaseHP,BaseATK,BaseDEF,Bossfight
Jean,90,5,Anemo,Sword,Healer,Healing Bonus,14695,239,769,1
Kaeya,1,4,Cryo,Sword,Support,Energy Recharge,976,19,66,0
Kaeya,20,4,Cryo,Sword,Support,Energy Recharge,2506,48,171,0
Kaeya,20,4,Cryo,Sword,Support,Energy Recharge,3235,62,220,0
Kaeya,40,4,Cryo,Sword,Support,Energy Recharge,4846,93,330,0
Kaeya,40,4,Cryo,Sword,Support,Energy Recharge,5364,103,365,0
Kaeya,50,4,Cryo,Sword,Support,Energy Recharge,6170,118,420,0
Kaeya,50,4,Cryo,Sword,Support,Energy Recharge,6860,131,467,0
Kaeya,60,4,Cryo,Sword,Support,Energy Recharge,7666,147,522,1
Kaeya,60,4,Cryo,Sword,Support,Energy Recharge,8184,157,557,1
Kaeya,70,4,Cryo,Sword,Support,Energy Recharge,8989,172,612,1
Kaeya,70,4,Cryo,Sword,Support,Energy Recharge,9507,182,647,1
Kaeya,80,4,Cryo,Sword,Support,Energy Recharge,10312,198,702,1
Kaeya,80,4,Cryo,Sword,Support,Energy Recharge,10830,208,737,1
Kaeya,90,4,Cryo,Sword,Support,Energy Recharge,11636,223,792,1
Keqing,1,5,Electro,Sword,DPS,CRIT DMG,1020,25,62,0
Keqing,20,5,Electro,Sword,DPS,CRIT DMG,2646,65,161,0
Keqing,20,5,Electro,Sword,DPS,CRIT DMG,3521,87,215,0
Keqing,40,5,Electro,Sword,DPS,CRIT DMG,5268,130,321,0
Keqing,40,5,Electro,Sword,DPS,CRIT DMG,5889,145,359,0
Keqing,50,5,Electro,Sword,DPS,CRIT DMG,6776,167,413,0
Keqing,50,5,Electro,Sword,DPS,CRIT DMG,7604,187,464,0
Keqing,60,5,Electro,Sword,DPS,CRIT DMG,8500,209,519,1
Keqing,60,5,Electro,Sword,DPS,CRIT DMG,9121,225,556,1
Keqing,70,5,Electro,Sword,DPS,CRIT DMG,10025,247,612,1
Keqing,70,5,Electro,Sword,DPS,CRIT DMG,10647,262,649,1
Keqing,80,5,Electro,Sword,DPS,CRIT DMG,11561,285,705,1
Keqing,80,5,Electro,Sword,DPS,CRIT DMG,12182,300,743,1
Keqing,90,5,Electro,Sword,DPS,CRIT DMG,13103,323,799,1
Klee,1,5,Pyro,Catalyst,DPS,Pyro DMG,801,24,48,0
Klee,20,5,Pyro,Catalyst,DPS,Pyro DMG,2077,63,124,0
Klee,20,5,Pyro,Catalyst,DPS,Pyro DMG,2764,84,165,0
Klee,40,5,Pyro,Catalyst,DPS,Pyro DMG,4136,125,247,0
Klee,40,5,Pyro,Catalyst,DPS,Pyro DMG,4623,140,276,0
Klee,50,5,Pyro,Catalyst,DPS,Pyro DMG,5319,161,318,0
Klee,50,5,Pyro,Catalyst,DPS,Pyro DMG,5970,180,357,0
Klee,60,5,Pyro,Catalyst,DPS,Pyro DMG,6673,202,399,1
Klee,60,5,Pyro,Catalyst,DPS,Pyro DMG,7161,216,428,1
Klee,70,5,Pyro,Catalyst,DPS,Pyro DMG,7870,238,470,1
Klee,70,5,Pyro,Catalyst,DPS,Pyro DMG,8358,253,500,1
Klee,80,5,Pyro,Catalyst,DPS,Pyro DMG,9076,274,542,1
Klee,80,5,Pyro,Catalyst,DPS,Pyro DMG,9563,289,572,1
Klee,90,5,Pyro,Catalyst,DPS,Pyro DMG,10287,311,615,1
Lisa,1,4,Electro,Catalyst,Support,Elemental Mastery,802,19,48,0
Lisa,20,4,Electro,Catalyst,Support,Elemental Mastery,2061,50,123,0
Lisa,20,4,Electro,Catalyst,Support,Elemental Mastery,2661,64,159,0
Lisa,40,4,Electro,Catalyst,Support,Elemental Mastery,3985,96,239,0
Lisa,40,4,Electro,Catalyst,Support,Elemental Mastery,4411,107,264,0
Lisa,50,4,Electro,Catalyst,Support,Elemental Mastery,5074,123,304,0
Lisa,50,4,Electro,Catalyst,Support,Elemental Mastery,5642,136,338,0
Lisa,60,4,Electro,Catalyst,Support,Elemental Mastery,6305,153,378,1
Lisa,60,4,Electro,Catalyst,Support,Elemental Mastery,6731,163,403,1
Lisa,70,4,Electro,Catalyst,Support,Elemental Mastery,7393,179,443,1
Lisa,70,4,Electro,Catalyst,Support,Elemental Mastery,7818,189,468,1
Lisa,80,4,Electro,Catalyst,Support,Elemental Mastery,8481,205,508,1
Lisa,80,4,Electro,Catalyst,Support,Elemental Mastery,8907,215,534,1
Lisa,90,4,Electro,Catalyst,Support,Elemental Mastery,9570,232,573,1
Mona,1,5,Hydro,Catalyst,Support,Energy Recharge,810,22,51,0
Mona,20,5,Hydro,Catalyst,Support,Energy Recharge,2102,58,132,0
Mona,20,5,Hydro,Catalyst,Support,Energy Recharge,2797,77,176,0
Mona,40,5,Hydro,Catalyst,Support,Energy Recharge,4185,115,263,0
Mona,40,5,Hydro,Catalyst,Support,Energy Recharge,4678,129,294,0
Mona,50,5,Hydro,Catalyst,Support,Energy Recharge,5383,148,338,0
Mona,50,5,Hydro,Catalyst,Support,Energy Recharge,6041,167,379,0
Mona,60,5,Hydro,Catalyst,Support,Energy Recharge,6752,186,424,1
Mona,60,5,Hydro,Catalyst,Support,Energy Recharge,7246,200,455,1
Mona,70,5,Hydro,Catalyst,Support,Energy Recharge,7964,220,500,1
Mona,70,5,Hydro,Catalyst,Support,Energy Recharge,8458,233,531,1
Mona,80,5,Hydro,Catalyst,Support,Energy Recharge,9184,253,576,1
Mona,80,5,Hydro,Catalyst,Support,Energy Recharge,9677,267,607,1
Mona,90,5,Hydro,Catalyst,Support,Energy Recharge,10409,287,653,1
Ningguang,1,4,Geo,Catalyst,DPS,Geo DMG,821,18,48,0
Ningguang,20,4,Geo,Catalyst,DPS,Geo DMG,2108,46,123,0
Ningguang,20,4,Geo,Catalyst,DPS,Geo DMG,2721,59,159,0
Ningguang,40,4,Geo,Catalyst,DPS,Geo DMG,4076,88,239,0
Ningguang,40,4,Geo,Catalyst,DPS,Geo DMG,4512,98,264,0
Ningguang,50,4,Geo,Catalyst,DPS,Geo DMG,5189,113,304,0
Ningguang,50,4,Geo,Catalyst,DPS,Geo DMG,5770,125,338,0
Ningguang,60,4,Geo,Catalyst,DPS,Geo DMG,6448,140,378,1
Ningguang,60,4,Geo,Catalyst,DPS,Geo DMG,6884,149,403,1
Ningguang,70,4,Geo,Catalyst,DPS,Geo DMG,7561,164,443,1
Ningguang,70,4,Geo,Catalyst,DPS,Geo DMG,7996,174,468,1
Ningguang,80,4,Geo,Catalyst,DPS,Geo DMG,8674,188,508,1
Ningguang,80,4,Geo,Catalyst,DPS,Geo DMG,9110,198,534,1
Ningguang,90,4,Geo,Catalyst,DPS,Geo DMG,9787,212,573,1
Noelle,1,4,Geo,Claymore,Support,DEF,1012,16,67,0
Noelle,20,4,Geo,Claymore,Support,DEF,2600,41,172,0
Noelle,20,4,Geo,Claymore,Support,DEF,3356,53,222,0
Noelle,40,4,Geo,Claymore,Support,DEF,5027,80,333,0
Noelle,40,4,Geo,Claymore,Support,DEF,5564,88,368,0
Noelle,50,4,Geo,Claymore,Support,DEF,6400,101,423,0
Noelle,50,4,Geo,Claymore,Support,DEF,7117,113,471,0
Noelle,60,4,Geo,Claymore,Support,DEF,7953,126,526,1
Noelle,60,4,Geo,Claymore,Support,DEF,8490,134,562,1
Noelle,70,4,Geo,Claymore,Support,DEF,9325,148,617,1
Noelle,70,4,Geo,Claymore,Support,DEF,9862,156,652,1
Noelle,80,4,Geo,Claymore,Support,DEF,10698,169,708,1
Noelle,80,4,Geo,Claymore,Support,DEF,11235,178,743,1
Noelle,90,4,Geo,Claymore,Support,DEF,12071,191,799,1
Qiqi,1,5,Cryo,Sword,Healer,Healing Bonus,963,22,72,0
Qiqi,20,5,Cryo,Sword,Healer,Healing Bonus,2498,58,186,0
Qiqi,20,5,Cryo,Sword,Healer,Healing Bonus,3323,77,248,0
Qiqi,40,5,Cryo,Sword,Healer,Healing Bonus,4973,115,371,0
Qiqi,40,5,Cryo,Sword,Healer,Healing Bonus,5559,129,415,0
Qiqi,50,5,Cryo,Sword,Healer,Healing Bonus,6396,148,477,0
Qiqi,50,5,Cryo,Sword,Healer,Healing Bonus,7178,167,535,0
Qiqi,60,5,Cryo,Sword,Healer,Healing Bonus,8023,186,598,1
Qiqi,60,5,Cryo,Sword,Healer,Healing Bonus,8610,200,642,1
Qiqi,70,5,Cryo,Sword,Healer,Healing Bonus,9463,220,706,1
Qiqi,70,5,Cryo,Sword,Healer,Healing Bonus,10050,233,749,1
Qiqi,80,5,Cryo,Sword,Healer,Healing Bonus,10912,253,814,1
Qiqi,80,5,Cryo,Sword,Healer,Healing Bonus,11499,267,857,1
Qiqi,90,5,Cryo,Sword,Healer,Healing Bonus,12368,287,922,1
Razor,1,4,Electro,Claymore,DPS,Physical DMG,1003,20,63,0
Razor,20,4,Electro,Claymore,DPS,Physical DMG,2577,50,162,0
Razor,20,4,Electro,Claymore,DPS,Physical DMG,3326,65,209,0
Razor,40,4,Electro,Claymore,DPS,Physical DMG,4982,97,313,0
Razor,40,4,Electro,Claymore,DPS,Physical DMG,5514,108,346,0
Razor,50,4,Electro,Claymore,DPS,Physical DMG,6343,124,398,0
Razor,50,4,Electro,Claymore,DPS,Physical DMG,7052,138,443,0
Razor,60,4,Electro,Claymore,DPS,Physical DMG,7881,154,495,1
Razor,60,4,Electro,Claymore,DPS,Physical DMG,8413,164,528,1
Razor,70,4,Electro,Claymore,DPS,Physical DMG,9241,180,580,1
Razor,70,4,Electro,Claymore,DPS,Physical DMG,9773,191,613,1
Razor,80,4,Electro,Claymore,DPS,Physical DMG,10602,207,665,1
Razor,80,4,Electro,Claymore,DPS,Physical DMG,11134,217,699,1
Razor,90,4,Electro,Claymore,DPS,Physical DMG,11962,234,751,1
Sucrose,1,4,Anemo,Catalyst,Support,Anemo DMG,775,14,59,0
Sucrose,20,4,Anemo,Catalyst,Support,Anemo DMG,1991,37,151,0
Sucrose,20,4,Anemo,Catalyst,Support,Anemo DMG,2570,47,195,0
Sucrose,40,4,Anemo,Catalyst,Support,Anemo DMG,3850,71,293,0
Sucrose,40,4,Anemo,Catalyst,Support,Anemo DMG,4261,78,324,0
Sucrose,50,4,Anemo,Catalyst,Support,Anemo DMG,4901,90,373,0
Sucrose,50,4,Anemo,Catalyst,Support,Anemo DMG,5450,100,414,0
Sucrose,60,4,Anemo,Catalyst,Support,Anemo DMG,6090,112,463,1
Sucrose,60,4,Anemo,Catalyst,Support,Anemo DMG,6501,120,494,1
Sucrose,70,4,Anemo,Catalyst,Support,Anemo DMG,7141,131,543,1
Sucrose,70,4,Anemo,Catalyst,Support,Anemo DMG,7552,139,574,1
Sucrose,80,4,Anemo,Catalyst,Support,Anemo DMG,8192,151,623,1
Sucrose,80,4,Anemo,Catalyst,Support,Anemo DMG,8604,158,654,1
Sucrose,90,4,Anemo,Catalyst,Support,Anemo DMG,9244,170,703,1
Venti,1,5,Anemo,Bow,Support,Energy Recharge,820,20,52,0
Venti,20,5,Anemo,Bow,Support,Energy Recharge,2127,53,135,0
Venti,20,5,Anemo,Bow,Support,Energy Recharge,2830,71,180,0
Venti,40,5,Anemo,Bow,Support,Energy Recharge,4234,106,269,0
Venti,40,5,Anemo,Bow,Support,Energy Recharge,4734,118,301,0
Venti,50,5,Anemo,Bow,Support,Energy Recharge,5446,136,346,0
Venti,50,5,Anemo,Bow,Support,Energy Recharge,6112,153,388,0
Venti,60,5,Anemo,Bow,Support,Energy Recharge,6832,171,434,1
Venti,60,5,Anemo,Bow,Support,Energy Recharge,7331,183,465,1
Venti,70,5,Anemo,Bow,Support,Energy Recharge,8058,201,512,1
Venti,70,5,Anemo,Bow,Support,Energy Recharge,8557,214,543,1
Venti,80,5,Anemo,Bow,Support,Energy Recharge,9292,232,590,1
Venti,80,5,Anemo,Bow,Support,Energy Recharge,9791,245,622,1
Venti,90,5,Anemo,Bow,Support,Energy Recharge,10531,263,669,1
Xiangling,1,4,Pyro,Polearm,Sub DPS,Elemental Mastery,912,19,56,0
Xiangling,20,4,Pyro,Polearm,Sub DPS,Elemental Mastery,2342,48,144,0
Xiangling,20,4,Pyro,Polearm,Sub DPS,Elemental Mastery,3024,63,186,0
Xiangling,40,4,Pyro,Polearm,Sub DPS,Elemental Mastery,4529,94,279,0
Xiangling,40,4,Pyro,Polearm,Sub DPS,Elemental Mastery,5013,104,308,0
Xiangling,50,4,Pyro,Polearm,Sub DPS,Elemental Mastery,5766,119,355,0
Xiangling,50,4,Pyro,Polearm,Sub DPS,Elemental Mastery,6411,133,394,0
Xiangling,60,4,Pyro,Polearm,Sub DPS,Elemental Mastery,7164,148,441,1
Xiangling,60,4,Pyro,Polearm,Sub DPS,Elemental Mastery,7648,158,470,1
Xiangling,70,4,Pyro,Polearm,Sub DPS,Elemental Mastery,8401,174,517,1
Xiangling,70,4,Pyro,Polearm,Sub DPS,Elemental Mastery,8885,184,546,1
Xiangling,80,4,Pyro,Polearm,Sub DPS,Elemental Mastery,9638,200,593,1
Xiangling,80,4,Pyro,Polearm,Sub DPS,Elemental Mastery,10122,210,623,1
Xiangling,90,4,Pyro,Polearm,Sub DPS,Elemental Mastery,10875,225,669,1
Xiao,1,5,Anemo,Polearm,DPS,CRIT Rate,991,27,62,0
Xiao,20,5,Anemo,Polearm,DPS,CRIT Rate,2572,71,161,0
Xiao,20,5,Anemo,Polearm,DPS,CRIT Rate,3422,94,215,0
Xiao,40,5,Anemo,Polearm,DPS,CRIT Rate,5120,140,321,0
Xiao,40,5,Anemo,Polearm,DPS,CRIT Rate,5724,157,359,0
Xiao,50,5,Anemo,Polearm,DPS,CRIT Rate,6586,181,413,0
Xiao,50,5,Anemo,Polearm,DPS,CRIT Rate,7391,203,464,0
Xiao,60,5,Anemo,Polearm,DPS,CRIT Rate,8262,227,519,1
Xiao,60,5,Anemo,Polearm,DPS,CRIT Rate,8866,243,556,1
Xiao,70,5,Anemo,Polearm,DPS,CRIT Rate,9744,267,612,1
Xiao,70,5,Anemo,Polearm,DPS,CRIT Rate,10348,284,649,1
Xiao,80,5,Anemo,Polearm,DPS,CRIT Rate,11236,308,705,1
Xiao,80,5,Anemo,Polearm,DPS,CRIT Rate,11840,325,743,1
Xiao,90,5,Anemo,Polearm,DPS,CRIT Rate,12736,349,799,1
Xingqiu,1,4,Hydro,Sword,Sub DPS,ATK,857,17,64,0
Xingqiu,20,4,Hydro,Sword,Sub DPS,ATK,2202,43,163,0
Xingqiu,20,4,Hydro,Sword,Sub DPS,ATK,2842,56,211,0
Xingqiu,40,4,Hydro,Sword,Sub DPS,ATK,4257,84,316,0
Xingqiu,40,4,Hydro,Sword,Sub DPS,ATK,4712,93,349,0
Xingqiu,50,4,Hydro,Sword,Sub DPS,ATK,5420,107,402,0
Xingqiu,50,4,Hydro,Sword,Sub DPS,ATK,6027,119,447,0
Xingqiu,60,4,Hydro,Sword,Sub DPS,ATK,6735,133,499,1
Xingqiu,60,4,Hydro,Sword,Sub DPS,ATK,7190,142,533,1
Xingqiu,70,4,Hydro,Sword,Sub DPS,ATK,7897,156,585,1
Xingqiu,70,4,Hydro,Sword,Sub DPS,ATK,8352,165,619,1
Xingqiu,80,4,Hydro,Sword,Sub DPS,ATK,9060,179,671,1
Xingqiu,80,4,Hydro,Sword,Sub DPS,ATK,9514,188,705,1
Xingqiu,90,4,Hydro,Sword,Sub DPS,ATK,10222,202,758,1
Tartaglia,1,5,Hydro,Bow,DPS,Hydro DMG,1020,23,63,0
Tartaglia,20,5,Hydro,Bow,DPS,Hydro DMG,2646,61,165,0
Tartaglia,20,5,Hydro,Bow,DPS,Hydro DMG,3521,81,219,0
Tartaglia,40,5,Hydro,Bow,DPS,Hydro DMG,5268,121,328,0
Tartaglia,40,5,Hydro,Bow,DPS,Hydro DMG,5889,135,366,0
Tartaglia,50,5,Hydro,Bow,DPS,Hydro DMG,6776,156,421,0
Tartaglia,50,5,Hydro,Bow,DPS,Hydro DMG,7604,175,473,0
Tartaglia,60,5,Hydro,Bow,DPS,Hydro DMG,8500,195,528,1
Tartaglia,60,5,Hydro,Bow,DPS,Hydro DMG,9121,210,567,1
Tartaglia,70,5,Hydro,Bow,DPS,Hydro DMG,10025,231,623,1
Tartaglia,70,5,Hydro,Bow,DPS,Hydro DMG,10647,245,662,1
Tartaglia,80,5,Hydro,Bow,DPS,Hydro DMG,11561,266,719,1
Tartaglia,80,5,Hydro,Bow,DPS,Hydro DMG,12182,280,757,1
Tartaglia,90,5,Hydro,Bow,DPS,Hydro DMG,13103,301,815,1
Zhongli,1,5,Geo,Polearm,Support,Geo DMG,1144,20,57,0
Zhongli,20,5,Geo,Polearm,Support,Geo DMG,2967,51,149,0
Zhongli,20,5,Geo,Polearm,Support,Geo DMG,3948,67,198,0
Zhongli,40,5,Geo,Polearm,Support,Geo DMG,5908,101,297,0
Zhongli,40,5,Geo,Polearm,Support,Geo DMG,6605,113,332,0
Zhongli,50,5,Geo,Polearm,Support,Geo DMG,7599,130,382,0
Zhongli,50,5,Geo,Polearm,Support,Geo DMG,8528,146,428,0
Zhongli,60,5,Geo,Polearm,Support,Geo DMG,9533,163,479,1
Zhongli,60,5,Geo,Polearm,Support,Geo DMG,10230,175,514,1
Zhongli,70,5,Geo,Polearm,Support,Geo DMG,11243,192,564,1
Zhongli,70,5,Geo,Polearm,Support,Geo DMG,11940,204,599,1
Zhongli,80,5,Geo,Polearm,Support,Geo DMG,12965,222,651,1
Zhongli,80,5,Geo,Polearm,Support,Geo DMG,13662,233,686,1
Zhongli,90,5,Geo,Polearm,Support,Geo DMG,14695,251,738,1
Diona,1,4,Cryo,Bow,Support,Cryo DMG,802,18,50,0
Diona,20,4,Cryo,Bow,Support,Cryo DMG,2061,46,129,0
Diona,20,4,Cryo,Bow,Support,Cryo DMG,2661,59,167,0
Diona,40,4,Cryo,Bow,Support,Cryo DMG,3985,88,250,0
Diona,40,4,Cryo,Bow,Support,Cryo DMG,4411,98,277,0
Diona,50,4,Cryo,Bow,Support,Cryo DMG,5074,113,318,0
Diona,50,4,Cryo,Bow,Support,Cryo DMG,5642,125,354,0
Diona,60,4,Cryo,Bow,Support,Cryo DMG,6305,140,396,1
Diona,60,4,Cryo,Bow,Support,Cryo DMG,6731,149,422,1
Diona,70,4,Cryo,Bow,Support,Cryo DMG,7393,164,464,1
Diona,70,4,Cryo,Bow,Support,Cryo DMG,7818,174,491,1
Diona,80,4,Cryo,Bow,Support,Cryo DMG,8481,188,532,1
Diona,80,4,Cryo,Bow,Support,Cryo DMG,8907,198,559,1
Diona,90,4,Cryo,Bow,Support,Cryo DMG,9570,212,601,1
Xinyan,1,4,Pyro,Claymore,Support,ATK,939,21,67,0
Xinyan,20,4,Pyro,Claymore,Support,ATK,2413,54,172,0
Xinyan,20,4,Pyro,Claymore,Support,ATK,3114,69,222,0
Xinyan,40,4,Pyro,Claymore,Support,ATK,4665,103,333,0
Xinyan,40,4,Pyro,Claymore,Support,ATK,5163,115,368,0
Xinyan,50,4,Pyro,Claymore,Support,ATK,5939,132,423,0
Xinyan,50,4,Pyro,Claymore,Support,ATK,6604,147,471,0
